"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 15 10:52:46 CST 2023","Tue Aug 15 10:52:46 CST 2023","0","","test_request","","","","test_answer",""
"passed","Tue Aug 15 10:52:46 CST 2023","Tue Aug 15 10:52:46 CST 2023","1","","test_multiplication","","","","test_multiplicationn_11[3-33]",""
"passed","Tue Aug 15 10:52:46 CST 2023","Tue Aug 15 10:52:46 CST 2023","1","","test_multiplication","","","","test_multiplicationn_11[4-44]",""
"passed","Tue Aug 15 10:52:46 CST 2023","Tue Aug 15 10:52:46 CST 2023","0","","test_divisible_by_13","","","","test_divisible_by_13",""
"failed","Tue Aug 15 10:52:46 CST 2023","Tue Aug 15 10:52:46 CST 2023","1","","test_fail","","","","test_equality_failure",""
"failed","Tue Aug 15 10:52:46 CST 2023","Tue Aug 15 10:52:46 CST 2023","1","","test_div_by_3_6","","","","test_divisible_by_6",""
"failed","Tue Aug 15 10:52:46 CST 2023","Tue Aug 15 10:52:46 CST 2023","0","","test_request","","","","test_quality",""
"passed","Tue Aug 15 10:52:46 CST 2023","Tue Aug 15 10:52:46 CST 2023","0","","test_fail","","","","test_square_failure",""
"failed","Tue Aug 15 10:52:46 CST 2023","Tue Aug 15 10:52:46 CST 2023","1","","test_request","","","","test_square",""
"skipped","Tue Aug 15 10:52:46 CST 2023","Tue Aug 15 10:52:46 CST 2023","0","","test_compare","","","","test_less",""
"passed","Tue Aug 15 10:52:46 CST 2023","Tue Aug 15 10:52:46 CST 2023","1","","test_request","","","","test_sqrt",""
"passed","Tue Aug 15 10:52:46 CST 2023","Tue Aug 15 10:52:46 CST 2023","0","","test_multiplication","","","","test_multiplicationn_11[1-11]",""
"passed","Tue Aug 15 10:52:46 CST 2023","Tue Aug 15 10:52:46 CST 2023","0","","test_compare","","","","test_greater_equal",""
"passed","Tue Aug 15 10:52:46 CST 2023","Tue Aug 15 10:52:46 CST 2023","0","","test_multiplication","","","","test_multiplicationn_11[2-22]",""
"passed","Tue Aug 15 10:52:46 CST 2023","Tue Aug 15 10:52:46 CST 2023","0","","test_div_by_3_6","","","","test_divisible_by_3",""
"skipped","Tue Aug 15 10:52:46 CST 2023","Tue Aug 15 10:52:46 CST 2023","0","","test_compare","","","","test_greater",""
"passed","Tue Aug 15 10:52:46 CST 2023","Tue Aug 15 10:52:46 CST 2023","0","","test_fail","","","","test_sqrt_failure",""
